geo_fips,year,pop,pop_change_yoy,pop_change_yoy_pct,pop_change_yoy_pct_diff,rank_pop,rank_pop_change_yoy,rank_pop_change_yoy_pct,rank_pop_change_yoy_pct_diff,state_name,state_abbr
54000,1933,1752000,5000,0.0028620492272467086,-0.0030735958836561345,26,18,33,33,West Virginia,WV
55000,1933,3040000,19000,0.006289308176100629,3.536630651977861e-4,13,12,21,21,Wisconsin,WI
56000,1933,230000,0,0,-0.005935645110902843,47,22,38,38,Wyoming,WY
00000,1934,126372000,792000,0.0063067367415193505,0,,,,,United States,US
01000,1934,2685000,24000,0.009019165727170236,0.002712428985650886,18,8,19,19,Alabama,AL
04000,1934,428000,2000,0.004694835680751174,-0.0016119010607681767,45,23,31,31,Arizona,AZ
05000,1934,1878000,24000,0.012944983818770227,0.006638247077250877,24,8,9,9,Arkansas,AR
06000,1934,6060000,97000,0.01626697970820057,0.009960242966681219,5,2,6,6,California,CA
08000,1934,1075000,4000,0.003734827264239029,-0.0025719094772803214,33,21,37,37,Colorado,CO
09000,1934,1650000,8000,0.0048721071863581,-0.001434629555161251,29,19,29,29,Connecticut,CT
10000,1934,250000,2000,0.008064516129032258,0.0017577793875129073,47,23,22,22,Delaware,DE
11000,1934,568000,39000,0.07372400756143667,0.06741727081991732,39,3,1,1,District of Columbia,DC
12000,1934,1585000,33000,0.021262886597938145,0.014956149856418795,31,6,3,3,Florida,FL
13000,1934,2964000,14000,0.0047457627118644066,-0.001560974029654944,14,15,30,30,Georgia,GA
16000,1934,473000,9000,0.01939655172413793,0.013089814982618582,43,18,5,5,Idaho,ID
17000,1934,7772000,4000,5.149330587023687e-4,-0.005791803682816982,3,21,41,41,Illinois,IL
18000,1934,3319000,15000,0.004539951573849879,-0.001766785167669472,11,14,34,34,Indiana,IN
19000,1934,2510000,15000,0.006012024048096192,-2.9471269342315823e-4,19,14,27,27,Iowa,IA
20000,1934,1868000,-9000,-0.004794885455514118,-0.011101622197033468,25,29,47,47,Kansas,KS
21000,1934,2722000,24000,0.008895478131949592,0.0025887413904302414,16,8,20,20,Kentucky,KY
22000,1934,2202000,24000,0.011019283746556474,0.004712547005037124,22,8,11,11,Louisiana,LA
23000,1934,829000,8000,0.0097442143727162,0.0034374776311968487,35,19,15,15,Maine,ME
24000,1934,1710000,16000,0.009445100354191263,0.0031383636126719123,28,13,17,17,Maryland,MD
25000,1934,4305000,23000,0.005371321812237272,-9.354149292820782e-4,8,9,28,28,Massachusetts,MA
26000,1934,4798000,18000,0.0037656903765690376,-0.002541046364950313,7,12,36,36,Michigan,MI
27000,1934,2695000,22000,0.00823045267489712,0.0019237159333777695,17,10,21,21,Minnesota,MN
28000,1934,2050000,19000,0.009354997538158542,0.003048260796639192,23,11,18,18,Mississippi,MS
29000,1934,3784000,11000,0.0029154518950437317,-0.003391284846475619,10,17,38,38,Missouri,MO
30000,1934,545000,4000,0.0073937153419593345,0.001086978600439984,40,21,23,23,Montana,MT
31000,1934,1382000,-3000,-0.0021660649819494585,-0.00847280172346881,32,27,44,44,Nebraska,NE
32000,1934,98000,2000,0.020833333333333332,0.014526596591813982,49,23,4,4,Nevada,NV
33000,1934,480000,3000,0.006289308176100629,-1.742856541872128e-5,42,22,26,26,New Hampshire,NH
34000,1934,4089000,-18000,-0.004382761139517896,-0.010689497881037246,9,30,46,46,New Jersey,NJ
35000,1934,461000,12000,0.026726057906458798,0.020419321164939448,44,16,2,2,New Mexico,NM
36000,1934,13253000,127000,0.009675453298796282,0.003368716557276931,1,1,16,16,New York,NY
37000,1934,3304000,36000,0.011015911872705019,0.004709175131185669,12,5,12,12,North Carolina,NC
38000,1934,672000,-2000,-0.002967359050445104,-0.009274095791964455,38,26,45,45,North Dakota,ND
39000,1934,6751000,11000,0.0016320474777448072,-0.004674689263774543,4,17,39,39,Ohio,OH
40000,1934,2391000,-1000,-4.180602006688963e-4,-0.006724796942188247,21,25,43,43,Oklahoma,OK
41000,1934,985000,7000,0.007157464212678937,8.507274711595861e-4,34,20,24,24,Oregon,OR
42000,1934,9795000,11000,0.0011242845461978742,-0.005182452195321477,2,17,40,40,Pennsylvania,PA
44000,1934,675000,0,0,-0.0063067367415193505,37,24,42,42,Rhode Island,RI
45000,1934,1760000,8000,0.0045662100456621,-0.0017405266958572503,27,19,33,33,South Carolina,SC
46000,1934,682000,-8000,-0.011594202898550725,-0.017900939640070074,36,28,48,48,South Dakota,SD
47000,1934,2784000,37000,0.01346923917000364,0.00716250242848429,15,4,7,7,Tennessee,TN
48000,1934,6053000,39000,0.006484868639840372,1.781318983210215e-4,6,3,25,25,Texas,TX
49000,1934,522000,2000,0.0038461538461538464,-0.002460582895365504,41,23,35,35,Utah,UT
50000,1934,357000,0,0,-0.0063067367415193505,46,24,42,42,Vermont,VT
51000,1934,2485000,25000,0.01016260162601626,0.0038558648844969094,20,7,14,14,Virginia,VA
53000,1934,1610000,18000,0.011306532663316583,0.004999795921797233,30,12,10,10,Washington,WA
54000,1934,1771000,19000,0.010844748858447488,0.0045380121169281374,26,11,13,13,West Virginia,WV
55000,1934,3054000,14000,0.004605263157894736,-0.0017014735836246141,13,15,32,32,Wisconsin,WI
56000,1934,233000,3000,0.013043478260869565,0.006736741519350214,48,22,8,8,Wyoming,WY
00000,1935,127251000,879000,0.006955654733643528,0,,,,,United States,US
01000,1935,2719000,34000,0.01266294227188082,0.005707287538237292,17,8,12,12,Alabama,AL
04000,1935,434000,6000,0.014018691588785047,0.007063036855141518,44,23,10,10,Arizona,AZ
